Words,NER Tag
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲೆಗ್,B-GPE
ತುರ್ತು,B-MED
ಆಕ್ಸಿಜನ್,B-MED
ಸರಬರಾಜು,B-TRS
ಮಲ್ತಿನ,O
ಪ್ರಧಾನಮಂತ್ರಿ,B-ROL
ನರೇಂದ್ರ,B-PER
ಮೋದಿ,I-PER
ಮೆರೆಗ್,O
ಸೊಲ್ಮೆಲು,B-ACD
.,O
ಪ್ರಧಾನಮಂತ್ರಿ,B-ROL
ನರೇಂದ್ರ,B-PER
ಮೋದಿನ,I-PER
ವಿಶೇಷ,O
ಪ್ರಯತ್ನರ್ದ್,O
ಇನಿ,B-DATE
ಕೊಲ್ಲಿ,B-LOC
ರಾಷ್ಟ್ರವಾಯಿನ,I-LOC
ಬಹರೈನ್,I-LOC
ಭಾರತೀಯ,B-ORG
ನೌಕಾಪಡೆದ,I-ORG
INS,O
Talwar,O
ಮುಖೇನ,O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲೆಗ್,B-GPE
40,B-NUM
ಮೆಟ್ರಿಕ್,O
ಟನ್,O
ಆಕ್ಸಿಜನ್,B-MED
ಸರಬರಾಜು,B-TRS
ಮಲ್ದುಂಡು,O
.,O
20,B-NUM
ಮೆಟ್ರಿಕ್,O
ಟನ್,O
ಆಕ್ಸಿಜನ್,B-MED
ಬೆಂಗಳೂರುಗು,B-LOC
ಕಡಪಾದೆರ್,O
ನನ,O
ಒರಿದಿನ,O
20,B-NUM
ಟನ್,O
ಲಿಕ್ವಿಡ್,B-MED
ಆಕ್ಸಿಜನ್,I-MED
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಬೊಕ್ಕ,O
ಒಡಿಪು,B-LOC
ಜಿಲ್ಲೆಗ್,B-GPE
ದೆತೊನ್ದೆರ್,O
.,O
ನವ,B-ORG
ಮಂಗಳೂರು,I-ORG
ಬಂದರ್ಗ್,I-ORG
ಬಹರೈನ್ರ್ದ್,B-LOC
ಆಕ್ಸಿಜನ್,B-MED
ಕಂತಿನ,O
INS,O
Talwarನ್,O
ಭಾರತೀಯ,B-ORG
ಜನತಾ,I-ORG
ಪಾರ್ಟಿದ,I-ORG
ರಾಜ್ಯ,B-GPE
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
",",O
ಸಂಸದೆರಾಯಿನ,B-ROL
ಶ್ರೀ,B-PER
ನಳೀನ್,I-PER
ಕುಮಾರ್,I-PER
ಕಟೀಲ್,I-PER
",",O
ಜಿಲ್ಲಾ,B-GPE
ಉಸ್ತುವಾರಿ,B-ROL
ಸಚಿವರಾಯಿನ,I-ROL
ಶ್ರೀ,B-PER
ಕೋಟ,B-PER
ಶ್ರೀನಿವಾಸ್,B-PER
ಪೂಜಾರಿನೊಟ್ಟಿಗೆ,I-PER
ಶಾಸಕ,B-ROL
ವೇದವ್ಯಾಸ್,B-PER
ಕಾಮತ್,I-PER
ಮೇರ್,O
ಎದುಕೊಂದೆರ್,O
.,O
ಆಲ್,B-ORG
ಇಂಡಿಯಾ,I-ORG
ಐಡಿಯಲ್,I-ORG
ಟೀಚರ್ಸ್,I-ORG
ಅಸೋಸಿಯೇಶನ್,I-ORG
ಕರ್ನಾಟಕ,B-LOC
ರಾಜ್ಯಾದ್ಯಂತ,B-GPE
ಖಾಸಗಿ,B-ACD
ಅನುದಾನ,O
ರಹಿತ,O
ಶಾಲೆಡ್,B-ACD
ಬೇಲೆ,I-ACD
ಮಲ್ಪುನoಚಿನ,O
ಆರ್ಹ,O
ಶಿಕ್ಷಕೆರೆನ್,B-ACD
ಗುರ್ತಿಸಾದ್,O
ರಮಝಾನ್,B-FUN
ಕಿಟ್,B-GRC
ಕೊರೊಂದು,O
ಉಲ್ಲೆರ್,O
ಪಂದ್,O
ಐಟಾ,O
ರಾಜ್ಯಾಧ್ಯಕ್ಷ,B-ROL
