NER_DATA,TAG
ಕಡಬ,B-LOC
ಪೊವೊಂದಿತ್ತಿನ,O
ಟಾಟಾ,B-ORG
ಸುಮೋ,I-ORG
ಬೊಕ್ಕ,O
ಅಂಗಡಿದ,O
ಮಿತ್ತ್,O
ಮಲ್ಲ,O
ಗಾತ್ರದ,O
ಮರ,O
ಬೂರ್ನ,O
ಪರಿಣಾಮ,B-ACD
ರಡ್ಡ್,B-NUM
ಜನಕ್ಕ್,I-PER
ಗಾಯ,I-MED
ಆಯಿನ,O
ಘಟನೆ,O
ಉಬಾರ್,B-LOC
ಸುಬ್ರಹ್ಮಣ್ಯ,I-LOC
ರಾಜ್ಯ,I-GPE
ಹೆದ್ದಾರಿದ,B-TRS
ಕೈಕಂಬ,I-LOC
ಜಂಕ್ಷನ್ಡ್,B-GPE
ಸೋಮವಾರ,O
ನಡತ್ಂಡ್.,O
*,O
ಸುಬ್ರಹ್ಮಣ್ಯರ್ದ್,B-LOC
ನೆಟ್ಟಣೆದಂಚಿ,I-LOC
ಪೊವೊಂದು,O
ಇತ್ತಿನ,O
ಟಾಟಾ,O
ಸುಮೋ,O
ಬೊಕ್ಕ,O
ಕೈಕಂಬ,B-LOC
ಜಂಕ್ಷನ್ಡ್,B-GPE
ಇತ್ತಿನ,O
ಗೂಡಂಗಡಿದ,O
ಮಿತ್ತ್,O
ಮಲ್ಲ,O
ಗಾತ್ರದ,O
ಮರ,O
ಬೂರ್ದುಂಡು.,O
*,
ಘಟನೆಡ್,O
ಗಾಡಿದ,O
ಡ್ರೈವರ್,B-ROL
ಬಿಳಿನೆಲೆ,B-LOC
ನಿವಾಸಿ,I-LOC
ಶೇಖರ್,B-PER
ಬೊಕ್ಕ,O
ನನೊರಿಯಗ್,B-COM
ಗಾಯ,B-MED
Read,O
more…1,O
ಚಿತ್ರನಟೆ,B-ROL
ಯಶ್,B-PER
ನ,I-PER
ಪುಟ್ಟುಪರ್ಬದ,B-FUN
ಲೆಕ್ಕೊಡು,O
ಬ್ಯಾನರ್,O
ಕಟ್,O
ನಗ,O
ಕರೆಂಟ್,O
ಹಾಕ್,O
ದ್,O
3,B-NUM
ಜನ,B-COM
ಜವನೆರ್,I-COM
ತೀರ್,O
ಪೋಯಿನ,O
ಘಟನೆ,O
ಗದಗ,B-LOC
ಜಿಲ್ಲೆದ,B-GPE
ಲಕ್ಷ್ಮೇಶ್ವರದ,B-LOC
ಸೂರಣಗಿಡ್,I-LOC
ನಡತ್ಂಡ್.,O
*,O
ಈ,O
ಘಟನೆಡ್,O
ತೀರ್,O
ಪೋಯಿನಕುಲು,O
ಹನುಮಂತ,B-PER
ಹರಿಜನ,I-PER
ಮುರಳಿ,I-PER
ನಡುವಿನಮನಿ,O
ಬೊಕ್ಕ,O
ನವೀನ,B-PER
ಪಂದ್,I-PER
ತೆರಿದ್,O
ಬೈದ್ಂಡ್.,O
*,O
ಅಂಚೆನೆ,O
ಈ,O
ಘಟನೆಡ್,O
ಮಂಜುನಾಥ್,B-PER
ದೀಪಕ್,I-PER
ಬೊಕ್ಕ,I-PER
ಪ್ರಕಾಶ್,I-PER
ಗ್,O
ಪೆಟ್ಟಾತ್ಂಡ್.,O
*,O
ಮೊಕ್ಲೆನ್,B-COM
ಕೈತಲ್ದ,O
ಆಸ್ಪತ್ರೆಗ್,B-MED
ದಾಖಲ್,I-MED
ಮಲ್ದೆರ್.,O
*,O
2,B-NUM
ಮೂಲ್ಕಿ,B-LOC
ಕೆರೆಕಾಡು,I-LOC
“ನಮ್ಮನೆ”,B-FAM
ಇಲ್ಲದ,I-FAM
ಅಮರ್,B-FAM
ಜೋಕುಲಾಯಿನ,I-FAM
ನವೀಶ್,B-PER
ಎನ್.,I-PER
*,O
ಪೂಜಾರಿ,I-PER
ಬೊಕ್ಕ,O
ನಮಿಷಾ,B-PER
ಎನ್.,I-PER
*,O
ಪೂಜಾರಿ,I-PER
ಮೊಕುಲು,O
ಕುಡ್ಲ,B-GPE
ಮಂಗಳಾದೇವಿದ,B-LOC
ಖಾಸಗಿ,B-ACD
ಶಾಲೆಡ್,B-ORG
ಐತಾರ,O
ನಡತಿನ,O
ರಾಜ್ಯಮಟ್ಟದ,B-GEP
ಕರಾಟೆ,B-SPT
ಸ್ಪರ್ಧೆ,I-SPT
ಎಡ್ಡೆ,O
ಸಾಧನೆ,O
ಮಲ್ದೆರ್.,O
*,O
ನವೀಶ್,B-PER
ಮೇರ್,I-PER
“ಕುಮಿಟೆ”,B-SPT
ವಿಭಾಗಡ್,I-SPT
ಬಂಗಾರ್,I-SPT
ದ,I-SPT
ಪದಕ,I-SPT
ಅಂಚೆನೆ,O
